artist_names,track_name,source,peak_rank,weeks_on_chart,streams
Nidhi Sharma,Gabbar Bhi Nachega,Masoom Sharma,163,4,1413503
Pinna Music,Gabbar Bhi Nachega,Masoom Sharma,163,4,1413503
Arjan Dhillon,Gears,Panj-aab Records,197,2,1263395
Mxrci,Gears,Panj-aab Records,197,2,1263395
Harsh Sandhu,Gentleman 2,Global Music Junction,112,8,1878896
Masoom Sharma,Gentleman 2,Global Music Junction,112,8,1878896
Anirudh Ravichander,"God Bless U (From ""Good Bad Ugly"")",T-Series,125,3,1589720
G. V. Prakash,"God Bless U (From ""Good Bad Ugly"")",T-Series,125,3,1589720
Paal Dabba,"God Bless U (From ""Good Bad Ugly"")",T-Series,125,3,1589720
Rokesh,"God Bless U (From ""Good Bad Ugly"")",T-Series,125,3,1589720
Badshah,God Damn,Universal Music India Pvt Ltd.,15,59,1665979
Hiten,God Damn,Universal Music India Pvt Ltd.,15,59,1665979
Karan Aujla,God Damn,Universal Music India Pvt Ltd.,15,59,1665979
Bhaskarabhatla,"Godari Gattu Meedha (From ""Sankranthiki Vasthunam"")",T-Series,189,12,2350490
Bheems Ceciroleo,"Godari Gattu Meedha (From ""Sankranthiki Vasthunam"")",T-Series,189,12,2350490
Madhupriya,"Godari Gattu Meedha (From ""Sankranthiki Vasthunam"")",T-Series,189,12,2350490
Ramana Gogula,"Godari Gattu Meedha (From ""Sankranthiki Vasthunam"")",T-Series,189,12,2350490
Arivu,"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,75,24,1465630
Dhanush,"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,75,24,1465630
G. V. Prakash,"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,75,24,1465630
Sublahshini,"Golden Sparrow (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,75,24,1465630
Sanam,Gulabi Aankhen,Universal Music India Pvt Ltd.,103,48,1671405
G-SPXRK,Gulabi Sadi,Sanjay Rathod,11,28,1506349
Sanju Rathod,Gulabi Sadi,Sanjay Rathod,11,28,1506349
Masoom Sharma,Gundey Dore Pe,Rajak Media Entertainment,162,2,1420530
Sachin Jaat,Gundey Dore Pe,Rajak Media Entertainment,162,2,1420530
Swara Verma,Gundey Dore Pe,Rajak Media Entertainment,162,2,1420530
Harsha Darivemula,"Guns and Roses (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,161,3,2076397
Thaman S,"Guns and Roses (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,161,3,2076397
Agaazz,"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Bunty Bains,"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Jagdeep Warring,"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Josh Brar,"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Kumaar,"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Parampara Tandon,"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Salamat Ali Matoi,"Guzaara (From ""Baaghi 4"")",T-Series,142,7,2552753
Javed Ali,Guzarish,T-Series,148,42,1872220
Ikky,HIM.,WM Canada,98,10,1950581
Karan Aujla,HIM.,WM Canada,98,10,1950581
Himesh Reshammiya,Haal-E-Dil - Female,Sony Music / EROS Music,151,2,1554203
Neeti Mohan,Haal-E-Dil - Female,Sony Music / EROS Music,151,2,1554203
Kausar Munir,Haan Ke Haan,YRF Music,9,45,1953028
Monali Thakur,Haan Ke Haan,YRF Music,9,45,1953028
Sohail Sen,Haan Ke Haan,YRF Music,9,45,1953028
KK,Haan Tu Hain,Sony Music Entertainment India Pvt. Ltd.,115,3,1287844
Pritam,Haan Tu Hain,Sony Music Entertainment India Pvt. Ltd.,115,3,1287844
Cheema Y,Haji Mastan,Brown Town Music,91,2,1975306
Gur Sidhu,Haji Mastan,Brown Town Music,91,2,1975306
Jasmeen Akhtar,Haji Mastan,Brown Town Music,91,2,1975306
Harshit Saxena,Hale Dil,T-Series,98,53,2161764
Arijit Singh,Hamari Adhuri Kahani (Title Track),Sony Music Entertainment India Pvt. Ltd.,56,207,1756622
Jeet Gannguli,Hamari Adhuri Kahani (Title Track),Sony Music Entertainment India Pvt. Ltd.,56,207,1756622
Rashmi Virag,Hamari Adhuri Kahani (Title Track),Sony Music Entertainment India Pvt. Ltd.,56,207,1756622
NDS,Haseen,Talwiinder,188,23,5962988
Rippy Grewal,Haseen,Talwiinder,188,23,5962988
Talwiinder,Haseen,Talwiinder,188,23,5962988
Ami Mishra,Hasi - Male Version,Sony Music Entertainment India Pvt. Ltd.,77,123,2163438
Kunaal Vermaa,Hasi - Male Version,Sony Music Entertainment India Pvt. Ltd.,77,123,2163438
Diljit Dosanjh,Hass Hass,Warner Music India,5,58,1312420
Greg Kurstin,Hass Hass,Warner Music India,5,58,1312420
Sia,Hass Hass,Warner Music India,5,58,1312420
Arijit Singh,Hawayein,Sony Music Entertainment India Pvt. Ltd.,51,213,2178247
Pritam,Hawayein,Sony Music Entertainment India Pvt. Ltd.,51,213,2178247
Glass Animals,Heat Waves,Polydor Records,3,129,1532941
Ali & Shjr,Heer,Freebird Records,133,7,2931370
Ali Raza,Heer,Freebird Records,133,7,2931370
Haider Ali,Heer,Freebird Records,133,7,2931370
Arijit Singh,Heeriye (feat. Arijit Singh),Warner Music India,1,112,2350752
Dulquer Salmaan,Heeriye (feat. Arijit Singh),Warner Music India,1,112,2350752
Jasleen Royal,Heeriye (feat. Arijit Singh),Warner Music India,1,112,2350752
G. V. Prakash,Hey Minnale,Saregama India Ltd,10,16,1832386
Haricharan,Hey Minnale,Saregama India Ltd,10,16,1832386
Karthik Netha,Hey Minnale,Saregama India Ltd,10,16,1832386
Shweta Mohan,Hey Minnale,Saregama India Ltd,10,16,1832386
Jind Universe,High On You,Sony Music India / Nine,191,18,3394584
Atif Aslam,Hona Tha Pyar,Tips Industries Ltd,155,28,2198013
Hadiqa Kiani,Hona Tha Pyar,Tips Industries Ltd,155,28,2198013
Manoj Muntashir,"Hua Main (From ""ANIMAL"")",T-Series,6,71,1440161
Pritam,"Hua Main (From ""ANIMAL"")",T-Series,6,71,1440161
Raghav Chaitanya,"Hua Main (From ""ANIMAL"")",T-Series,6,71,1440161
Arijit Singh,"Humdard (From ""Ek Villain"")",T-Series,24,277,4059722
Jubin Nautiyal,Humnava Mere,T-Series,66,155,1582305
Manoj Muntashir,Humnava Mere,T-Series,66,155,1582305
Akhil Sachdeva,"Humsafar (From ""Badrinath Ki Dulhania"")",T-Series,70,94,2324418
Mansheel Gujral,"Humsafar (From ""Badrinath Ki Dulhania"")",T-Series,70,94,2324418
Irshad Kamil,"Humsafar (From ""Saiyaara"")",YRF Music,11,16,8260495
Parampara Tandon,"Humsafar (From ""Saiyaara"")",YRF Music,11,16,8260495
Prashant Pandey,"Humsafar (From ""Saiyaara"")",YRF Music,11,16,8260495
Sachet Tandon,"Humsafar (From ""Saiyaara"")",YRF Music,11,16,8260495
Sachet-Parampara,"Humsafar (From ""Saiyaara"")",YRF Music,11,16,8260495
Raghu Ram,"Hungry Cheetah (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,181,1,1385812
Thaman S,"Hungry Cheetah (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,181,1,1385812
Anuv Jain,Husn,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,101,2998411
Anirudh Ravichander,I Am The Danger,Sun Pictures,138,1,1541134
Heisenberg,I Am The Danger,Sun Pictures,138,1,1541134
Siddharth Basrur,I Am The Danger,Sun Pictures,138,1,1541134
Ikky,I Really Do...,WM Canada,56,11,2561628
Karan Aujla,I Really Do...,WM Canada,56,11,2561628
Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,48,156,1639916
Ikky,I'ma Do My Thiiing,WM Canada,191,1,1365007
Karan Aujla,I'ma Do My Thiiing,WM Canada,191,1,1365007
Arijit Singh,Ilahi,T-Series,185,32,1708850
Pritam,Ilahi,T-Series,185,32,1708850
Dabzee,Illuminati,Think Music,3,44,1696465
Sushin Shyam,Illuminati,Think Music,3,44,1696465
Vinayak Sasikumar,Illuminati,Think Music,3,44,1696465
Amir Ameer,Ishq,Artiste First,2,84,6922782
Faheem Abdullah,Ishq,Artiste First,2,84,6922782
Rauhan Malik,Ishq,Artiste First,2,84,6922782
Dhanda Nyoliwala,Ishq Bawla | Coke Studio Bharat,Universal Music India Pvt Ltd.,133,2,1489318
Xvir Grewal,Ishq Bawla | Coke Studio Bharat,Universal Music India Pvt Ltd.,133,2,1489318
Sanam Puri,Ishq Bulaava,Sony Music Entertainment India Pvt. Ltd.,119,32,2777853
Shipra Goyal,Ishq Bulaava,Sony Music Entertainment India Pvt. Ltd.,119,32,2777853
Vishal-Shekhar,Ishq Bulaava,Sony Music Entertainment India Pvt. Ltd.,119,32,2777853
Diljit Dosanjh,Ishq Di Baajiyaan,Sony Music Entertainment India Pvt. Ltd.,137,63,2383365
Shankar-Ehsaan-Loy,Ishq Di Baajiyaan,Sony Music Entertainment India Pvt. Ltd.,137,63,2383365
Amarabha Banerjee,Ishq Hai,Netflix Music,2,47,8176320
Anurag Saikia,Ishq Hai,Netflix Music,2,47,8176320
Madhubanti Bagchi,Ishq Hai,Netflix Music,2,47,8176320
Mismatched - Cast,Ishq Hai,Netflix Music,2,47,8176320
Raj Shekhar,Ishq Hai,Netflix Music,2,47,8176320
Romy,Ishq Hai,Netflix Music,2,47,8176320
Varun Jain,Ishq Hai,Netflix Music,2,47,8176320
Amitabh Bhattacharya,"Ishq Mein (From ""Nadaaniyan"")",Sony Music Entertainment India Pvt. Ltd.,68,1,1861296
Asees Kaur,"Ishq Mein (From ""Nadaaniyan"")",Sony Music Entertainment India Pvt. Ltd.,68,1,1861296
Sachet Tandon,"Ishq Mein (From ""Nadaaniyan"")",Sony Music Entertainment India Pvt. Ltd.,68,1,1861296
Sachin-Jigar,"Ishq Mein (From ""Nadaaniyan"")",Sony Music Entertainment India Pvt. Ltd.,68,1,1861296
Amitabh Bhattacharya,"Ishq Mein - From ""Nadaaniyan""",Sony Music Entertainment India Pvt. Ltd.,60,6,1961322
Asees Kaur,"Ishq Mein - From ""Nadaaniyan""",Sony Music Entertainment India Pvt. Ltd.,60,6,1961322
Sachet Tandon,"Ishq Mein - From ""Nadaaniyan""",Sony Music Entertainment India Pvt. Ltd.,60,6,1961322
Sachin-Jigar,"Ishq Mein - From ""Nadaaniyan""",Sony Music Entertainment India Pvt. Ltd.,60,6,1961322
Kamal Khan,Ishq Sufiyana (Male),T-Series,79,50,2186098
Vishal-Shekhar,Ishq Sufiyana (Male),T-Series,79,50,2186098
Neeti Mohan,Ishq Wala Love,Sony Music Entertainment India Pvt. Ltd.,100,85,1436310
Salim Merchant,Ishq Wala Love,Sony Music Entertainment India Pvt. Ltd.,100,85,1436310
Shekhar Ravjiani,Ishq Wala Love,Sony Music Entertainment India Pvt. Ltd.,100,85,1436310
Vishal-Shekhar,Ishq Wala Love,Sony Music Entertainment India Pvt. Ltd.,100,85,1436310
Lata Mangeshkar,Itna Na Mujhse Tu Pyar Badha,Saregama India Ltd,182,7,1574719
Talat Mahmood,Itna Na Mujhse Tu Pyar Badha,Saregama India Ltd,182,7,1574719
Antara Mitra,"Itni Si Baat Hain (From ""Azhar"")",T-Series,144,56,2746008
Arijit Singh,"Itni Si Baat Hain (From ""Azhar"")",T-Series,144,56,2746008
Manoj Yadav,"Itni Si Baat Hain (From ""Azhar"")",T-Series,144,46,2080445
Pritam,"Itni Si Baat Hain (From ""Azhar"")",T-Series,144,52,2194602
Maan Panu,I’m Done. - I-Popstar: Vol. 1,Warner Music India,54,2,4834448
Asees Kaur,"Jaan Ban Gaye - From ""Khuda Haafiz""",Zee Music Company,72,71,1352175
Mithoon,"Jaan Ban Gaye - From ""Khuda Haafiz""",Zee Music Company,72,71,1352175
Vishal Mishra,"Jaan Ban Gaye - From ""Khuda Haafiz""",Zee Music Company,72,71,1352175
Aditya Rikhari,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",T-Series,9,53,3696477
Lijo George-Dj Chetas,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",T-Series,9,53,3696477
Tulsi Kumar,"Jaana Samjho Na (From ""Bhool Bhulaiyaa 3"")",T-Series,9,53,3696477
Vishal Mishra,"Jaanam (From ""Bad Newz"")",Saregama India Ltd,7,28,1464288
Bhoomi,Jaane Na Tu,EYP Creations,156,7,2286871
Naaz,Jaane Na Tu,EYP Creations,156,7,2286871
Saaheal,Jaane Na Tu,EYP Creations,156,7,2286871
A.R. Rahman,"Jaane Tu (From ""Chhaava"")",Sony Music Entertainment India Pvt. Ltd.,103,4,1974859
Arijit Singh,"Jaane Tu (From ""Chhaava"")",Sony Music Entertainment India Pvt. Ltd.,103,4,1974859
Irshad Kamil,"Jaane Tu (From ""Chhaava"")",Sony Music Entertainment India Pvt. Ltd.,103,4,1974859
Ajay Bhagta,Jaat Intro (feat. Pranjal Dahiya),Sky Digital,104,8,1980758
Kb Dhull,Jaat Intro (feat. Pranjal Dahiya),Sky Digital,104,8,1980758
Manisha Sharma,Jaat Intro (feat. Pranjal Dahiya),Sky Digital,104,8,1980758
Pranjal Dahiya,Jaat Intro (feat. Pranjal Dahiya),Sky Digital,104,8,1980758
Monty Sharma,Jab Se Tere Naina,Sony Music Entertainment India Pvt. Ltd.,190,3,1419752
Shaan,Jab Se Tere Naina,Sony Music Entertainment India Pvt. Ltd.,190,3,1419752
Gurpreet Saini,"Jab Tu Sajan (From ""Aap Jaisa Koi"")",Netflix Music LLC / Sony Music Entertainment India Pvt. Ltd.,192,1,1347450
Mohit Chauhan,"Jab Tu Sajan (From ""Aap Jaisa Koi"")",Netflix Music LLC / Sony Music Entertainment India Pvt. Ltd.,192,1,1347450
Rochak Kohli,"Jab Tu Sajan (From ""Aap Jaisa Koi"")",Netflix Music LLC / Sony Music Entertainment India Pvt. Ltd.,192,1,1347450
Rashmeet Kaur,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Netflix Music,5,122,2101350
Vishal Mishra,"Janiye (from the Netflix Film ""Chor Nikal Ke Bhaga"")",Netflix Music,5,122,2101350
Atif Aslam,Jeena Jeena,Sony Music / EROS Music,29,215,2895801
Sachin-Jigar,Jeena Jeena,Sony Music / EROS Music,29,215,2895801
Atif Aslam,Jeene Laga Hoon,Tips Music Limited,62,61,2468437
Sachin-Jigar,Jeene Laga Hoon,Tips Music Limited,62,61,2468437
Shreya Ghoshal,Jeene Laga Hoon,Tips Music Limited,62,61,2468437
Annural Khalid,Jhol,Giraffe Music,95,21,9203336
Maanu,Jhol,Giraffe Music,95,21,9203336
Abdullah Siddiqui,Jhol - Acoustic,Maanu,132,29,3660815
Annural Khalid,Jhol - Acoustic,Maanu,132,29,3660815
Maanu,Jhol - Acoustic,Maanu,132,29,3660815
Athar Hayat,"Jhoom Sharaabi (From ""De De Pyaar De 2"")",T-Series,197,1,1351654
Sameer Hayat,"Jhoom Sharaabi (From ""De De Pyaar De 2"")",T-Series,197,1,1351654
Yo Yo Honey Singh,"Jhoom Sharaabi (From ""De De Pyaar De 2"")",T-Series,197,1,1351654
Jeet Gannguli,Jo Tere Sang,Sony Music Entertainment India Pvt. Ltd.,179,27,2888079
Mustafa Zahid,Jo Tere Sang,Sony Music Entertainment India Pvt. Ltd.,179,27,2888079
Anuv Jain,Jo Tum Mere Ho,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),1,65,6734459
Shreya Ghoshal,"Jugraafiya - From ""Super 30""",Zee Music Company,57,41,3508430
Udit Narayan,"Jugraafiya - From ""Super 30""",Zee Music Company,57,41,3508430
Neha Bhasin,Jutti Meri (Live),Neha Bhasin,115,7,2555258
Desi Crew,Kaali Activa - Pind De Gerhe,T-Series,194,2,1295708
Narinder Batth,Kaali Activa - Pind De Gerhe,T-Series,194,2,1295708
Rupinder Handa,Kaali Activa - Pind De Gerhe,T-Series,194,2,1295708
Arijit Singh,"Kabhi Jo Baadal Barse (From ""Jackpot)",T-Series,196,5,1427445
Rashid Ali,Kabhi Kabhi Aditi,T-Series,58,152,1540496
Pritam,Kabira,T-Series,31,321,2232115
Rekha Bhardwaj,Kabira,T-Series,31,321,2232115
Tochi Raina,Kabira,T-Series,31,321,2232115
Kaifi Khalil,Kahani Suno 2.0,Kaifi Khalil,1,129,1733015
Amir Jamal,"Kaho Na Kaho - From ""Murder""",Vishesh Films,116,6,2070764
Anu Malik,"Kaho Na Kaho - From ""Murder""",Vishesh Films,116,6,2070764
Manoj Muntashir,"Kaise Hua (From ""Kabir Singh"")",T-Series,5,334,2660676
Vishal Mishra,"Kaise Hua (From ""Kabir Singh"")",T-Series,5,334,2660676
Arijit Singh,Kalank - Title Track,Zee Music Company,5,291,1813439
Pritam,Kalank - Title Track,Zee Music Company,5,291,1813439
Santhosh Narayanan,"Kanimaa (From ""Retro"")",T-Series,199,19,3007342
The Indian Choral Ensemble,"Kanimaa (From ""Retro"")",T-Series,199,19,3007342
Vivek,"Kanimaa (From ""Retro"")",T-Series,199,19,3007342
Harinarayanan,Kanmanipoove,Sony Music Entertainment India Pvt. Ltd.,158,5,1393571
Jakes Bejoy,Kanmanipoove,Sony Music Entertainment India Pvt. Ltd.,158,5,1393571
M. G. Sreekumar,Kanmanipoove,Sony Music Entertainment India Pvt. Ltd.,158,5,1393571
Harinarayanan,"Kanmanipoove (From ""Thudarum"")",Sony Music Entertainment India Pvt. Ltd.,158,1,1370765
Jakes Bejoy,"Kanmanipoove (From ""Thudarum"")",Sony Music Entertainment India Pvt. Ltd.,158,1,1370765
M. G. Sreekumar,"Kanmanipoove (From ""Thudarum"")",Sony Music Entertainment India Pvt. Ltd.,158,1,1370765
Santhosh Narayanan,"Kannadi Poove (From ""Retro"")",T-Series,199,15,2368856
Vivek,"Kannadi Poove (From ""Retro"")",T-Series,199,15,2368856
Job Kurian,Kannodu - Live,Job Kurian Productions,200,3,1361334
Mridula Warrier,Kannodu - Live,Job Kurian Productions,200,3,1361334
Adesh Krishna,Kannukulla,Think Music,190,1,1338579
Jonita Gandhi,Kannukulla,Think Music,190,1,1338579
Sai Abhyankkar,Kannukulla,Think Music,190,1,1338579
Ashish Bhatia,Kashish,Sony Music India / Nine,48,7,4886256
Kashish Ratnani,Kashish,Sony Music India / Nine,48,7,4886256
Omkar Singh,Kashish,Sony Music India / Nine,48,7,4886256
Arijit Singh,"Kasturi (From ""Amar Prem Ki Prem Kahani"")",Times Music,65,30,1966575
Kunaal Vermaa,"Kasturi (From ""Amar Prem Ki Prem Kahani"")",Times Music,65,30,1966575
Prasad S,"Kasturi (From ""Amar Prem Ki Prem Kahani"")",Times Music,65,30,1966575
Sai Abhyankkar,"Katchi Sera - From ""Think Indie""",Think Music,6,48,1334052
Palak Muchhal,"Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")",T-Series,57,44,1264659
Amitabh Bhattacharya,Kesariya,Sony Music Entertainment India Pvt. Ltd.,1,172,1954914
Arijit Singh,Kesariya,Sony Music Entertainment India Pvt. Ltd.,1,172,1954914
Pritam,Kesariya,Sony Music Entertainment India Pvt. Ltd.,1,172,1954914
Arijit Singh,Khairiyat,T-Series,1,272,1256738
Pritam,Khairiyat,T-Series,1,272,1256738
Arijit Singh,Khamoshiyan,Sony Music Entertainment India Pvt. Ltd.,90,80,1423173
Jeet Gannguli,Khamoshiyan,Sony Music Entertainment India Pvt. Ltd.,90,80,1423173
Rashmi Virag,Khamoshiyan,Sony Music Entertainment India Pvt. Ltd.,90,80,1423173
NDS,Khayaal,Sony Music Entertainment India Pvt. Ltd.,75,29,3385813
Talwiinder,Khayaal,Sony Music Entertainment India Pvt. Ltd.,75,29,3385813
Akasa Singh,Kheech Meri Photo,Sony Music / EROS Music,189,1,1307799
Darshan Raval,Kheech Meri Photo,Sony Music / EROS Music,189,1,1307799
Himesh Reshammiya,Kheech Meri Photo,Sony Music / EROS Music,189,1,1307799
Neeti Mohan,Kheech Meri Photo,Sony Music / EROS Music,189,1,1307799
Mismatched - Cast,Kho Gaye,Netflix Music,8,61,2030004
Taaruk Raina,Kho Gaye,Netflix Music,8,61,2030004
Amitabh Bhattacharya,"Khoobsurat (From ""Stree 2"")",Saregama India Ltd,5,44,2324909
Sachin-Jigar,"Khoobsurat (From ""Stree 2"")",Saregama India Ltd,5,44,2324909
Vishal Mishra,"Khoobsurat (From ""Stree 2"")",Saregama India Ltd,5,44,2324909
Anvita Dutt Guptan,Khuda Jaane,YRF Music,37,161,2455531
KK,Khuda Jaane,YRF Music,37,161,2455531
Shilpa Rao,Khuda Jaane,YRF Music,37,161,2455531
Vishal-Shekhar,Khuda Jaane,YRF Music,37,161,2455531
Ilaiyaraaja,Kiliye Kiliye - Afrobeat Mix,Saregama India Ltd,192,1,1325444
S. Janaki,Kiliye Kiliye - Afrobeat Mix,Saregama India Ltd,192,1,1325444
The Independeners,Kiliye Kiliye - Afrobeat Mix,Saregama India Ltd,192,1,1325444
Shubh,King Shit,SHUBH,5,55,1293497
Diljit Dosanjh,Kinni Kinni,DILJIT DOSANJH,24,77,1776158
thiarajxtt,Kinni Kinni,DILJIT DOSANJH,24,77,1776158
Kishore Kumar,Kishore Kumar Speaks And O Mere Dil Ke Chain (Film - Mere Jeevan Saathi),Saregama India Ltd,195,4,1518967
Devi Sri Prasad,"Kissik (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,122,5,1522485
Lothika,"Kissik (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,122,5,1522485
Raqueeb Alam,"Kissik (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,122,5,1522485
Sublahshini,"Kissik (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,122,5,1522485
Chandra Bose,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,30,8,1686133
Devi Sri Prasad,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,30,8,1686133
Sublahshini,"Kissik (From ""Pushpa 2 The Rule"") [TELUGU]",T-Series,30,8,1686133
Dhanda Nyoliwala,Knife Brows,FarArmy Productions,80,23,1681594
Gifty,"Koi Naa (From ""Bhool Chuk Maaf"")",Sony Music Entertainment India Pvt. Ltd.,135,5,1788785
Harnoor,"Koi Naa (From ""Bhool Chuk Maaf"")",Sony Music Entertainment India Pvt. Ltd.,135,5,1788785
Irshad Kamil,"Koi Naa (From ""Bhool Chuk Maaf"")",Sony Music Entertainment India Pvt. Ltd.,135,5,1788785
Shreya Ghoshal,"Koi Naa (From ""Bhool Chuk Maaf"")",Sony Music Entertainment India Pvt. Ltd.,135,5,1788785
Tanishk Bagchi,"Koi Naa (From ""Bhool Chuk Maaf"")",Sony Music Entertainment India Pvt. Ltd.,135,5,1788785
Diljit Dosanjh,Kufar,Diljit Dosanjh,155,2,1727130
MixSingh,Kufar,Diljit Dosanjh,155,2,1727130
Raj Ranjodh,Kufar,Diljit Dosanjh,155,2,1727130
A.R. Rahman,Kun Faya Kun,T-Series,60,153,1336123
Javed Ali,Kun Faya Kun,T-Series,60,153,1336123
Mohit Chauhan,Kun Faya Kun,T-Series,60,153,1336123
Irshad Kamil,"Kya Meri Yaad Aati Hai (From ""Sky Force"")",Saregama India Ltd,200,1,1291659
Tanishk Bagchi,"Kya Meri Yaad Aati Hai (From ""Sky Force"")",Saregama India Ltd,200,1,1291659
Vishal Mishra,"Kya Meri Yaad Aati Hai (From ""Sky Force"")",Saregama India Ltd,200,1,1291659
KK,Kya Mujhe Pyar Hai,T-Series,42,101,1341984
Neelesh Misra,Kya Mujhe Pyar Hai,T-Series,42,101,1341984
Pritam,Kya Mujhe Pyar Hai,T-Series,42,101,1341984
Dhanda Nyoliwala,La La La,Universal Music India Pvt Ltd.,191,11,2057352
Hansraj Raghuwanshi,Laagi Lagan Shankara,Hansraj Raghuwanshi,169,1,1352904
Alfaaz,"Laal Pari (From ""Housefull 5"")",T-Series,101,26,3839780
Simar Kaur,"Laal Pari (From ""Housefull 5"")",T-Series,101,26,3839780
Yo Yo Honey Singh,"Laal Pari (From ""Housefull 5"")",T-Series,101,26,3839780
KK,Labon Ko,T-Series,85,6,1390323
Pritam,Labon Ko,T-Series,85,6,1390323
Diljit Dosanjh,Lalkara,DILJIT DOSANJH,22,75,1548859
Intense,Lalkara,DILJIT DOSANJH,22,75,1548859
Sultaan,Lalkara,DILJIT DOSANJH,22,75,1548859
Diljit Dosanjh,Lemonade,DILJIT DOSANJH,26,132,1579479
DJ Snake,Let Me Love You,DJ Snake Def Jam,90,215,1381077
Justin Bieber,Let Me Love You,DJ Snake Def Jam,90,215,1381077
Sidhu Moose Wala,Lock,Sidhu Moose Wala,58,3,2031736
The Kidd,Lock,Sidhu Moose Wala,58,3,2031736
Masoom Sharma,Lofar,Sky High Music,106,34,2678643
Swara Verma,Lofar,Sky High Music,106,34,2678643
Gaurav Dev,Lor Lor,EYP Creations,148,2,1441786
Jassie Gill,Lor Lor,EYP Creations,148,2,1441786
Kartik Dev,Lor Lor,EYP Creations,148,2,1441786
Yo Yo Honey Singh,Love Dose,T-Series,32,71,1797206
AZWIN,MAUNA LOA,Mass Appeal,98,4,1747081
Vedan,MAUNA LOA,Mass Appeal,98,4,1747081
Ikky,MF Gabhru!,WM Canada,73,14,3646292
Karan Aujla,MF Gabhru!,WM Canada,73,14,3646292
Shubh,MVP,Shubh,24,24,1404255
Shaarib Toshi,Maahi,Sony Music Entertainment India Pvt. Ltd.,157,25,2308195
Toshi Sabri,Maahi,Sony Music Entertainment India Pvt. Ltd.,157,25,2308195
King,Maan Meri Jaan,Warner Music India,1,122,1626216
Bayaan,Maand,Bayaan,189,10,5418761
Hasan Raheem,Maand,Bayaan,189,10,5418761
Rovalio,Maand,Bayaan,189,10,5418761
B Praak,"Maaye (From ""Sky Force"")",Saregama India Ltd,161,2,1423235
Manoj Muntashir,"Maaye (From ""Sky Force"")",Saregama India Ltd,161,2,1423235
Tanishk Bagchi,"Maaye (From ""Sky Force"")",Saregama India Ltd,161,2,1423235
Darshan Raval,Mahiye Jinna Sohna,Warner Music India,2,83,1317706
Basant Kur,Main Hi Kyon,T-Series,196,2,1222968
Wazir Patar,Main Hi Kyon,T-Series,196,2,1222968
Atif Aslam,Main Rang Sharbaton Ka,Tips Industries Ltd,73,64,1589908
Chinmayi,Main Rang Sharbaton Ka,Tips Industries Ltd,73,64,1589908
Pritam,Main Rang Sharbaton Ka,Tips Industries Ltd,73,64,1589908
Kausar Munir,Maiyya,T-Series,49,43,2911212
Parampara Tandon,Maiyya,T-Series,49,43,2911212
Sachet Tandon,Maiyya,T-Series,49,43,2911212
Sachet-Parampara,Maiyya,T-Series,49,43,2911212
Sachet Tandon,Maiyya Mainu,Zee Music Company,5,149,2205344
Shellee,Maiyya Mainu,Zee Music Company,5,149,2205344
Kumaar,Malang Sajna,T-Series,4,132,1908992
Parampara Tandon,Malang Sajna,T-Series,4,132,1908992
Sachet Tandon,Malang Sajna,T-Series,4,132,1908992
Sachet-Parampara,Malang Sajna,T-Series,4,132,1908992
Khan Bhaini,Malwa Flow,Universal Music India Pvt Ltd.,156,1,1394301
Anirudh Ravichander,Manasilaayo,Sony Music Entertainment India Pvt. Ltd.,7,24,1881485
Deepthi Suresh,Manasilaayo,Sony Music Entertainment India Pvt. Ltd.,7,24,1881485
Malaysia Vasudevan,Manasilaayo,Sony Music Entertainment India Pvt. Ltd.,7,24,1881485
Yugendran Vasudeva Nair,Manasilaayo,Sony Music Entertainment India Pvt. Ltd.,7,24,1881485
