artist_names,track_name,source,peak_rank,weeks_on_chart,streams
Devi Sri Prasad,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,37,11,1322802
Raqueeb Alam,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,37,11,1322802
Shreya Ghoshal,"Angaaron (From ""Pushpa 2 The Rule"") [HINDI]",T-Series,37,11,1322802
Amitabh Bhattacharya,Apna Bana Le,Zee Music Company,1,124,5094843
Arijit Singh,Apna Bana Le,Zee Music Company,1,124,5094843
Sachin-Jigar,Apna Bana Le,Zee Music Company,1,124,5094843
Anuv Jain,Arz Kiya Hai | Coke Studio Bharat,Universal Music India Pvt Ltd.,170,11,5819211
Darshan Raval,Asal Mein,Indie Music Label,21,195,1482675
Ikky,At Peace,WM Canada,17,19,3380835
Karan Aujla,At Peace,WM Canada,17,19,3380835
Arijit Singh,Aur Mohabbat Kitni Karoon,T-Series,153,3,1457008
Pritam,Aur Mohabbat Kitni Karoon,T-Series,153,3,1457008
Sandeep Shrivastava,Aur Mohabbat Kitni Karoon,T-Series,153,3,1457008
Shubh,Aura,SHUBH,146,23,2087687
Anirudh Ravichander,Ayudha Pooja [TELUGU],T-Series,50,15,1297230
Kala Bhairava,Ayudha Pooja [TELUGU],T-Series,50,15,1297230
Ramajogayya Sastry,Ayudha Pooja [TELUGU],T-Series,50,15,1297230
Dhanda Nyoliwala,BLACK RIDE,FarArmy Productions,166,4,1725281
Hammy Muzic,BLACK RIDE,FarArmy Productions,166,4,1725281
Anuv Jain,Baarishein,Universal Music India Pvt. Ltd. (on behalf of Anuv Jain),16,234,2392162
Sapna Choudhary,Baba Ji,Dreams Entertainment,32,10,2439277
Vishu Puthi,Baba Ji,Dreams Entertainment,32,10,2439277
Shreya Ghoshal,Bahara,Sony Music Entertainment India Pvt. Ltd.,191,3,1540425
Sona Mohapatra,Bahara,Sony Music Entertainment India Pvt. Ltd.,191,3,1540425
Vishal-Shekhar,Bahara,Sony Music Entertainment India Pvt. Ltd.,191,3,1540425
Pritam,Balam Pichkari,T-Series,30,6,2596423
Shalmali Kholgade,Balam Pichkari,T-Series,30,6,2596423
Vishal Dadlani,Balam Pichkari,T-Series,30,6,2596423
Shubh,Balenci,Shubh,118,10,2065328
Shubh,Bandana,Shubh,8,69,2103606
Dr Zeus,Bande 4,K Million Music,180,4,1483684
Jasmeen Akhtar,Bande 4,K Million Music,180,4,1483684
Watan Sahi,Bande 4,K Million Music,180,4,1483684
Arijit Singh,"Bandeya - From ""Dil Juunglee""",Pooja Music,70,84,1335444
Shaarib Toshi,"Bandeya - From ""Dil Juunglee""",Pooja Music,70,84,1335444
Mithoon,Banjaara,T-Series,128,61,1447577
Mohammed Irfan,Banjaara,T-Series,128,61,1447577
Mohammed Irfan,"Banjaara (From ""Ek Villain"")",T-Series,146,60,1579274
Jubin Nautiyal,"Barbaad (From ""Saiyaara"")",YRF Music,7,16,7991473
The Rish,"Barbaad (From ""Saiyaara"")",YRF Music,7,16,7991473
Shilpa Rao,Barbaad Reprise - Female,YRF Music,98,4,2306757
The Rish,Barbaad Reprise - Female,YRF Music,98,4,2306757
Javed-Mohsin,"Bas Ek Dhadak - From ""Dhadak 2""",Zee Music Company,182,5,2085742
Jubin Nautiyal,"Bas Ek Dhadak - From ""Dhadak 2""",Zee Music Company,182,5,2085742
Rashmi Virag,"Bas Ek Dhadak - From ""Dhadak 2""",Zee Music Company,182,5,2085742
Shreya Ghoshal,"Bas Ek Dhadak - From ""Dhadak 2""",Zee Music Company,182,5,2085742
Dhibu Ninan Thomas,"Beer Song - From ""Diesel""",Think Music,161,4,1284348
Gana Guna,"Beer Song - From ""Diesel""",Think Music,161,4,1284348
Rokesh,"Beer Song - From ""Diesel""",Think Music,161,4,1284348
KK,"Beete Lamhein Lofi Mix (From ""The Train"")",T-Series,75,52,1476128
Sachet Tandon,"Bekhayali (From ""Kabir Singh"")",T-Series,1,277,1492825
Sachet-Parampara,"Bekhayali (From ""Kabir Singh"")",T-Series,1,277,1492825
Freebot,Besos,PlayDMF,71,3,1943827
Karl Wine,Besos,PlayDMF,71,3,1943827
Rajat Nagpal,Besos,PlayDMF,71,3,1943827
Shreya Ghoshal,Besos,PlayDMF,71,3,1943827
Himesh Reshammiya,Bewajah,Sony Music / EROS Music,19,18,4085176
Aman Jaji,Bhagatt Aadmi,Punjabi Buggy,166,4,1406136
Anjali 99,Bhagatt Aadmi,Punjabi Buggy,166,4,1406136
Masoom Sharma,Bhagatt Aadmi,Punjabi Buggy,166,4,1406136
Pranjal Dahiya,Bhagatt Aadmi,Punjabi Buggy,166,4,1406136
Sumit Parta,Bhartar,Real Music Production,192,2,1280325
Dhrruv Yogi,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),T-Series,13,11,1255531
Diljit Dosanjh,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),T-Series,13,11,1255531
Neeraj Shridhar,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),T-Series,13,11,1255531
Pitbull,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),T-Series,13,11,1255531
Pritam,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),T-Series,13,11,1255531
Sameer Anjaan,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),T-Series,13,11,1255531
Tanishk Bagchi,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),T-Series,13,11,1255531
Asees Kaur,"Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,167,5,1715159
Ravi Pawar,"Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,167,5,1715159
Sonu Nigam,"Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,167,5,1715159
Tanishk Bagchi,"Bijuria (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,167,5,1715159
Abdul Hannan,Bikhra,2636621 Records DK,199,7,1561777
Rovalio,Bikhra,2636621 Records DK,199,7,1561777
Shafqat Amanat Ali,Bin Tere,Sony Music Entertainment India Pvt. Ltd.,189,24,1666320
Sunidhi Chauhan,Bin Tere,Sony Music Entertainment India Pvt. Ltd.,189,24,1666320
Vishal-Shekhar,Bin Tere,Sony Music Entertainment India Pvt. Ltd.,189,24,1666320
Dev Chouhan,Blender,GSC Music,192,41,3016522
Masoom Sharma,Blender,GSC Music,192,41,3016522
Pooja Saxena,Blender,GSC Music,192,41,3016522
Swara Verma,Blender,GSC Music,192,41,3016522
The Weeknd,Blinding Lights,Republic Records,4,205,1539563
Yo Yo Honey Singh,Blue Eyes,T-Series,38,51,1924559
Dj Chetas,Bol Kaffara Kya Hoga,Desi Music Factory,200,4,1896204
Farhan Sabri,Bol Kaffara Kya Hoga,Desi Music Factory,200,4,1896204
Neha Kakkar,Bol Kaffara Kya Hoga,Desi Music Factory,200,4,1896204
Gulzar,Bol Na Halke Halke,YRF Music,196,3,1296757
Mahalakshmi Iyer,Bol Na Halke Halke,YRF Music,196,3,1296757
Rahat Fateh Ali Khan,Bol Na Halke Halke,YRF Music,196,3,1296757
Shankar-Ehsaan-Loy,Bol Na Halke Halke,YRF Music,196,3,1296757
Arijit Singh,"Bolna (From ""Kapoor & Sons (Since 1921)"")",Sony Music Entertainment India Pvt. Ltd.,59,104,1550521
