track_name,source,peak_rank,weeks_on_chart,streams
Deewane,Universal Music India Pvt Ltd.,139,2,1647634
"Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)",PlayDMF,123,9,5643061
"Dekhha Tenu (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,2,71,2686428
Departure Lane,Mass Appeal,124,9,1906748
Desi Kalakaar,T-Series,13,91,2036547
Deva Shree Ganesha,Sony Music Entertainment India Pvt. Ltd.,23,10,2216196
Dhak Dhak,Universal Music India Pvt Ltd.,185,1,1316187
"Dhoonde Akhiyaan - From ""Jabariya Jodi""",Zee Music Company,65,8,1303717
"Dhun (From ""Saiyaara"")",YRF Music,5,16,9409254
Dhundhala,Universal Music India Pvt. Ltd. (on behalf of Yashraj),39,19,2081694
"Dhurandhar - Title Track (From ""Dhurandhar"")",Saregama India Ltd,141,3,2231319
Die With A Smile,Interscope,4,58,5480132
Dil Diyan Gallan,YRF Music,53,299,2631003
Dil Ibaadat,Sony Music Entertainment India Pvt. Ltd.,54,46,2093370
Dil Kaa Jo Haal Hai,T-Series,98,12,2602746
Dil Nu,RUN-UP RECORDS,33,94,2282478
"Dil Se Dil Tak (From ""Bawaal"")",T-Series,38,37,1319540
Dil Tu Jaan Tu,Jhankar Music,14,55,1690817
"Dilbar Ki Aankhon Ka (From ""Thamma"") [Feat. Nora Fatehi]",T-Series,126,3,1884714
Don’t Say You Love Me,BIGHIT MUSIC,141,1,1487878
Dooron Dooron,Paresh Pahuja,166,5,2902083
"Duniyaa (From ""Luka Chuppi"")",T-Series,1,311,1445032
Ehsaas,Universal Music India Pvt Ltd.,160,18,4633772
Ek Din Teri Raahon,Tips Industries Ltd,185,3,1437672
Ek Khtola Jail Ke Bhitar,Ankit Baliyan,169,10,1990209
Enna Sona,Sony Music Entertainment India Pvt. Ltd.,34,161,1476714
Espresso,Island Records,26,53,1604911
Excuses,RUN-UP RECORDS,1,205,1966488
