track_name,source,peak_rank,weeks_on_chart,streams
Suroor,Universal Music India Pvt Ltd.,172,1,1394753
"Tainu Khabar Nahi - From ""Munjya""",Zee Music Company,17,73,2677349
Take Notes,Sidhu Moose Wala,164,1,1410591
"Taras - From ""Munjya""",Zee Music Company,38,50,1600323
Tauba Tauba,Saregama India Ltd,1,56,2857867
Tell Me,WM Canada,190,3,1271829
Tension,Universal Music India Pvt Ltd.,168,3,1551661
Tenu Sang Rakhna,Saregama India Ltd,102,21,1733050
"Tera Ban Jaunga (From ""Kabir Singh"")",T-Series,4,296,2051572
Tera Chehra,Sony Music / EROS Music,157,40,5834202
Tera Fitoor,Tips Music Limited,61,108,2024488
Tera Ghata,Virtual Planet Production Pvt. Ltd.,62,71,1379517
Tera Hone Laga Hoon,Tips Industries Ltd,33,234,2466356
Tera Mera Rishta,Sony Music / Vishesh Films,161,30,1825757
"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",T-Series,54,197,1282073
Tere Bina,Sony Music Entertainment India Pvt. Ltd.,103,64,4956975
Tere Bina Na Guzara E,Speed Records,19,53,1898131
"Tere Ishk Mein (From ""Tere Ishk Mein"")",T-Series,194,3,2400231
Tere Liye,Tips Industries Ltd,187,27,2774792
Tere Naina,Sony Music Entertainment India Pvt. Ltd.,175,42,1787060
Tere Pyaar Mein,T-Series,5,96,1606273
Tere Sang Yaara,Zee Music Company,125,52,1620948
"Teri Baaton Mein Aisa Uljha Jiya Title Song (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,5,48,1442270
Teri Deewani,Sony Music Entertainment India Pvt. Ltd.,143,66,2745202
Teri Jhuki Nazar,Sony Music Entertainment India Pvt. Ltd.,162,16,1876693
Teri Ramjhol Bole Gi (feat. Kay D & Aarohi Raghav),Empire Media,173,22,3068522
Teri Yaad,Universal Music India Pvt Ltd.,134,4,1488124
The Fate of Ophelia,Taylor Swift,130,1,1685603
Thodi Si Daaru,AP Dhillon,25,14,8243642
"Thottu Thottu (Form ""Ethirum Puthirum"")",Music Masters Audio Video LLP,134,3,1586922
Timeless (feat Playboi Carti),XO / Republic Records,165,21,1859192
Together,Shubh,163,4,1467445
Toh Phir Aao,Sony Music / Vishesh Films,155,16,1475442
Toota Jo Kabhi Tara,Zee Music Company,162,1,1523176
"Trance of Omi (From ""They Call Him OG"")",Sony Music Entertainment India Pvt. Ltd.,189,2,1614569
Triple OG,DIVINE,192,7,1435037
Tu,T-Series,111,1,1858685
Tu Hai Ki Nahi,T-Series,75,7,1877272
"Tu Hain Toh (From ""Mr. And Mrs. Mahi"")",Sony Music Entertainment India Pvt. Ltd.,8,56,1798010
"Tu Hain Toh Main Hoon (From ""Sky Force"")",Saregama India Ltd,18,29,4594499
Tu Hi Haqeeqat,Sony Music Entertainment India Pvt. Ltd.,174,25,1707134
Tu Hi Mera,Sony Music Entertainment India Pvt. Ltd.,163,19,2009907
Tu Jaane Na,Tips Industries Ltd,71,214,2257502
Tu Ru Ruu,Universal Music India Pvt Ltd. – Distribution,158,1,1402766
Tu hai kahan,Sony Music Middle East / South Asia,1,82,2418016
Tujhe Bhula Diya,T-Series,94,35,1533367
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",T-Series,2,336,3901950
Tum Hi Ho,T-Series,42,249,2718172
Tum Ho,T-Series,62,31,1195003
"Tum Ho Toh (From ""Saiyaara"")",YRF Music,8,16,8656855
Tum Jo Aaye,T-Series,179,23,1757134
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")",Saregama India Ltd,9,108,1660103
Tum Mere Na Huye - From “Thamma”,Universal Music India Pvt. Ltd.,150,5,2718717
Tum Mile,Sony Music Entertainment India Pvt. Ltd.,177,26,1969064
"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",T-Series,10,91,3095773
Tum Se Hi,T-Series,14,294,3565264
"Tum Tak (From ""Raanjhanaa"")",Sony Music Entertainment India Pvt. Ltd.,167,55,2118204
"Tumhare Hi Rahenge Hum (From ""Stree 2"")",Saregama India Ltd,8,64,2596268
"Tumse Behtar (From ""Sunny Sanskari Ki Tulsi Kumari"")",Sony Music Entertainment India Pvt. Ltd.,131,4,1894574
Tutor,Brown Town Music,197,4,2443884
Up To U,FarArmy Productions,58,28,1416130
"Uyi Amma - From ""Azaad""",Zee Music Company,191,36,2523074
Vaarayo Vaarayo,Sony Music Entertainment India Pvt. Ltd.,178,2,1336893
Vaaroon,Zee Music Company,197,19,2079303
Vartmaan,UNIYAL,51,4,2054810
"Vazhithunaiye - From ""Dragon""",Think Music,196,14,1755807
Ve Haaniyaan,Dreamiyata Entertainment Pvt Ltd,10,73,1655355
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Saregama India Ltd,15,112,1795657
"Vibe Undi (From ""Mirai"") [Telugu]",Tips Music Limited,177,1,1397834
Victory Anthem,Sony Music India / Brown,17,17,2493665
"Vizhi Veekura - From ""Think Indie""",Think Music,182,4,1474862
Warning,Gem Tunes Haryanvi,130,17,1652280
Water,Famous Studios,181,21,2404046
Wavy,Karan Aujla Music,4,51,4526435
White Brown Black,Universal Music India Pvt Ltd. – Distribution,29,125,2126223
Winning Speech,Karan Aujla,8,77,2966205
With You,Mass Appeal India,2,65,1392906
Without Me,AP Dhillon,187,1,1353514
"Woh Lamhe Woh Baatein - From ""Zeher""",UME - Global Clearing House,190,21,1830470
YEDA YUNG,Gully Gang Records,113,7,2589356
"Ya Ali - From ""Gangster""",Vishesh Films,119,2,1689636
Yaari,Kiara Records,153,6,2233652
Ye Tune Kya Kiya,T-Series,26,90,4036122
"Yedi (From ""Nilavuku En Mel Ennadi Kobam"")",Wunderbar Films,191,11,1604450
You're U Tho,WM Canada,186,1,1375033
Young G.O.A.T,Brown Town Music,117,16,1776442
Zaalima,Zee Music Company,78,124,2880442
Zamaana Lage,T-Series,26,14,2652472
"Zamaana Lage (From ""Metro ... In Dino"")",T-Series,50,3,2647074
Zara Sa,Sony Music Entertainment India Pvt. Ltd.,33,140,2696702
Zaroor,Sony Music India / Nine,13,64,1754494
Zaroorat,T-Series,129,12,1400059
"Zaroorat (From ""Ek Villain"")",T-Series,197,11,1560662
Zehnaseeb,Sony Music Entertainment India Pvt. Ltd.,167,7,1559627
Zihaal e Miskin,Universal Music India Pvt Ltd.,7,67,1430566
blue,BMG Rights Management (US) LLC,33,32,3183311
like JENNIE,OA Entertainment/Columbia,181,11,1506338
luther (with sza),"pgLang, under exclusive license to Interscope Records",169,1,1374544
